BLAM-BR;IMDI (Import);DataCite;OLAC;VLO-Facet;ELDP;lat-session
BLAM-BR;IMDI (Import);DataCite;OLAC;VLO-Facet;ELDP;lat-session
BundleID;/METATRANSCRIPT/@ArchiveHandle;Identifier;—;—;;
BundleDisplayTitle;//Session/Title;Title;http://purl.org/dc/terms/title;name;ELDP_Bundle:Title;
BundleDescription;//Session/Description;Description;http://purl.org/dc/terms/description;;ELDP_Bundle:Description;
BundleKeyword;various (closest match: //Session/Keys/*);Subject;;keywords;CCR:ELDP_Bundle:Keywords:Keyword;
ObjectLanguageDisplayName;//Session/MDGroup/Content/Languages/Language/Name;;;;;
ObjectLanguageName;;;http://purl.org/dc/terms/language;;;
ObjectLanguageAlternativeName;;;;;;
ObjectLanguageISO639-3Code;//Session/MDGroup/Content/Languages/Language/Id;Language;http://purl.org/dc/terms/language;languageCode;;
ObjectLanguageGlottologCode;;;;;;
ObjectLanguageLanguageFamily;;;;;;
BundleRecordingDate;//Session/date;date subType:created;;;;
BundleGeoLocation;;GeoLocation:geoLocationPoint;;;;
BundleLocationDisplayName;//Session/MDGroup/Location/Address;;;;;
BundleLocationName;;;;;;
BundleRegionDisplayName;//Session/MDGroup/Location/Region;;;;;
BundleRegionName;;;;;;
BundleCountryDisplayName;//Session/MDGroup/Location/Country;;;;;
BundleCountryName;;;;;;
BundleCountryCode;;;;;;
CreatorFamilyName;//Session/MDGroup/Actors/Actor/FullName[../Role/contains(text()\, 'Researcher') or ../Role/contains(text()\, 'Depositor')];;;;;
CreatorGivenName;//Session/MDGroup/Actors/Actor/FullName[../Role/contains(text()\, 'Researcher') or ../Role/contains(text()\, 'Depositor')];;;;;
CreatorNameIdentifier;;;;;;
CreatorAffiliation;;;;;;
BundlePublicationYear;;;;;;
BundleDataProvider;;;;;;
ContributorFamilyName;//Session/MDGroup/Actors/Actor/FullName[../Role/contains(text()\, 'Researcher') or ../Role/contains(text()\, 'Depositor')];;;;;
ContributorGivenName;//Session/MDGroup/Actors/Actor/FullName[../Role/contains(text()\, 'Researcher') or ../Role/contains(text()\, 'Depositor')];;;;;
ContributorNameIdentifier;;;;;;
ContributorAffiliation;;;;;;
ContributorRole;;;;;;
ProjectDisplayName;;;;;;
ProjectDescription;;;;;;
FunderName;;;;;;
FunderIdentifier;;;;;;
GrantIdentifier;;;;;;
GrantURI;;;;;;
SegmentationUnit;;;;;;
TranscriptionType;;;;;;
TranslationLanguageName;;;;;;
TranslationLanguageCode;;;;;;
AnnotationType;;;;;;
BundleIsPartOfCollection;;;;;;
MD FileName;;;;;;
MD FilePID;;;;;;
MD MimeType;;;;;;
MD IsMetadataOf;;;;;;
MD FileDescription;;;;;;
MR FileName;;;;;;
MR FilePID;;;;;;
MR MimeType;;;;;;
MR FileLength;;;;;;
MR FileDescription;;;;;;
WR FileName;;;;;;
WR FilePID;;;;;;
WR MimeType;;;;;;
WR IsAnnotationOf;;;;;;
WR FileDescription;;;;;;
OR FileName;;;;;;
OR FilePID;;;;;;
OR MimeType;;;;;;
OR FileDescription;;;;;;